trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-154.18788754960602,"{0: 10, 1: 1, 2: 6, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",35,0,-268.6241760244113,"{0: 20, 1: 4, 2: 6, 3: 0, 4: 5}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",20,6,-92.29900395077175,"{0: 8, 1: 2, 2: 1, 3: 2, 4: 1}",1
37,False,"{'a': 0.5, 'e': 0.6894490858690778}",20,5,-31.256186394974065,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 0}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",20,0,-50.98927275406343,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",30,16,-48.95520570053786,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",25,1,-44.90316477457697,"{0: 19, 1: 2, 2: 2, 3: 0, 4: 1}",1
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-84.06594013917004,"{0: 18, 1: 1, 2: 4, 3: 1, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",20,2,-13.926447544218531,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",25,0,-116.82797508311148,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",25,8,-13.31016017785229,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",25,8,-102.131859197177,"{0: 10, 1: 0, 2: 4, 3: 2, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",35,0,-117.56441474839649,"{0: 22, 1: 6, 2: 5, 3: 1, 4: 1}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-48.61176728259347,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,0,-55.0667626885587,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
49,False,"{'a': 0.5, 'e': 0.611117239532865}",25,0,14.61156278131043,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",20,0,-36.1547984925079,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.598956006466161}",20,0,-129.55865706787648,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",25,0,-89.83074662014818,"{0: 20, 1: 0, 2: 3, 3: 0, 4: 2}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",20,14,-0.9349822821815619,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",25,16,-8.46835671903142,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-80.43581626449574,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,5,-19.289089430009295,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,16,-8.439048906967447,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,4,-41.7123416490966,"{0: 12, 1: 2, 2: 1, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",25,0,-114.91751156664816,"{0: 16, 1: 3, 2: 4, 3: 0, 4: 2}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",25,0,-126.10200448641987,"{0: 19, 1: 1, 2: 2, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",35,17,-44.110105438379414,"{0: 13, 1: 1, 2: 2, 3: 2, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",30,2,-4.542314333282979,"{0: 24, 1: 1, 2: 3, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,12,-88.39793088934042,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 2}",1
64,False,"{'a': 0.5, 'e': 0.525596487525562}",20,0,-139.61199072430747,"{0: 13, 1: 0, 2: 4, 3: 0, 4: 3}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,0,-49.111539666818686,"{0: 21, 1: 1, 2: 1, 3: 1, 4: 1}",0
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",25,0,-89.75220459231114,"{0: 15, 1: 5, 2: 4, 3: 0, 4: 1}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",30,4,-96.5590526605416,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 1}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-95.43859423221515,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",20,0,-29.739948411923585,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 0}",0
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,11,-34.315671907526614,"{0: 10, 1: 0, 2: 3, 3: 1, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",20,0,-62.763525572724134,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",25,19,-2.950007188709252,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",20,15,-1.9394853880739538,"{0: 4, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",20,0,-148.24753406840435,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,12,-27.879118663051628,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,0,-24.23534972545265,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",20,0,18.222951909929705,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",25,0,-106.5271397905072,"{0: 17, 1: 0, 2: 5, 3: 2, 4: 1}",0
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",20,0,-2.4789030627369866,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",30,0,-175.18116795150618,"{0: 21, 1: 0, 2: 5, 3: 0, 4: 4}",0
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",25,0,-32.22044737029531,"{0: 19, 1: 2, 2: 3, 3: 1, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",20,8,-52.51655277966374,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 1}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",20,0,-3.2932126222123532,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",30,9,-36.99066203490318,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",25,16,-18.30264310665808,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.421334222154768}",30,22,-67.80584500068362,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",20,0,-142.06712556174398,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",20,0,-31.421928430053264,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",20,14,-12.289548535996872,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,0,-79.45873321352771,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
